TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;SIT;RAZAO_SOCIAL;CODIGO;TICKER;COMPANY_ID;QUOTAS;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;VOLUME
F.I.I.;13.873.457/0001-52;AESAPAR FUNDO DE INVESTIMENTO IMOBIILÁRIO - FII;2011-12-09;EM FUNCIONAMENTO NORMAL;AESAPAR FDO INV IMOB - FII;AEFI;AEFI11.SA;13.873.457/0001-52;752500;BRAEFICTF002;1.22;171.5;780
F.I.I.;28.737.771/0001-85;ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;2017-10-20;EM FUNCIONAMENTO NORMAL;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;ALZR;ALZR11.SA;28.737.771/0001-85;997042;BRALZRCTF006;0.64;96.0;6763
F.I.I.;14.069.202/0001-02;AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2012-07-27;EM FUNCIONAMENTO NORMAL;AQ3 RENDA FDO INV IMOB - FII;ARFI;ARFI11B.SA;14.069.202/0001-02;113816;;;0.0;0
F.I.I.;13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2011-08-15;EM FUNCIONAMENTO NORMAL;ÁQUILLA FDO INV IMOB - FII;AQLL;AQLL11.SA;13.555.918/0001-49;97934;;;415.01;0
F.I.I.;22.219.335/0001-38;BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO;2015-06-30;EM FUNCIONAMENTO NORMAL;BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII;BCRI;BCRI11.SA;22.219.335/0001-38;1210001;BRBCRICTF009;0.9;116.39;5394
F.I.I.;15.570.431/0001-60;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2012-09-11;EM FUNCIONAMENTO NORMAL;BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;BNFS;BNFS11.SA;15.570.431/0001-60;700000;BRBNFSCTF000;0.82;119.0;665
F.I.I.;07.000.400/0001-46;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;2004-09-03;EM FUNCIONAMENTO NORMAL;BB FDO INV IMOB PROGRESSIVO;BBFI;BBFI11B.SA;07.000.400/0001-46;130000;BRBBFICTF006;23.59;2379.0;77
F.I.I.;14.410.722/0001-29;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2012-08-23;EM FUNCIONAMENTO NORMAL;BB PROGRESSIVO II FDO INV IMOB - FII;BBPO;BBPO11.SA;14.410.722/0001-29;15919690;BRBBPOCTF003;1.01;138.95;23242
F.I.I.;20.716.161/0001-93;BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2014-09-12;EM FUNCIONAMENTO NORMAL;BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;BBIM;BBIM11.SA;20.716.161/0001-93;1035000;BRBBIMCTF002;0.76;0.0;0
F.I.I.;12.681.340/0001-04;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2011-06-13;EM FUNCIONAMENTO NORMAL;BB RENDA CORPORATIVA FDO INV IMOB - FII;BBRC;BBRC11.SA;12.681.340/0001-04;1590000;BRBBRCCTF004;0.91;133.59;816
F.I.I.;15.394.563/0001-89;BB RENDA DE PAPÉIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2012-05-07;EM FUNCIONAMENTO NORMAL;BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII;RNDP;RNDP11.SA;15.394.563/0001-89;107481;BRRNDPCTF007;5.12;955.0;5
F.I.I.;23.120.027/0001-13;BB RENDA DE PAPÉIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2017-12-28;EM FUNCIONAMENTO NORMAL;BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII;RDPD;RDPD11.SA;23.120.027/0001-13;1078042;BRRDPDCTF008;0.42;84.7;26
F.I.I.;20.216.935/0001-17;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA;2015-05-19;EM FUNCIONAMENTO NORMAL;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII;BCIA;BCIA11.SA;20.216.935/0001-17;1689613;BRBCIACTF005;0.71;110.0;3442
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-08-03;EM FUNCIONAMENTO NORMAL;BRAZIL REALTY FDO INV IMOB;BZLI;BZLI11.SA;14.074.706/0001-02;24007132;;;14.7;2
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-08-03;EM FUNCIONAMENTO NORMAL;BRAZIL REALTY FDO INV IMOB;BZLI;BZLI11.SA;14.074.706/0001-02;24007132;;;14.7;2
F.I.I.;13.584.584/0001-31;BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2011-12-12;EM FUNCIONAMENTO NORMAL;BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;CARE;CARE11.SA;13.584.584/0001-31;134764887;BRCARER23M17;0.03;1.4;2607
F.I.I.;20.748.515/0001-81;BRESCO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-07-13;EM FUNCIONAMENTO NORMAL;BRESCO - FDO INV IMOB;BRCO;;20.748.515/0001-81;996556;;;0.0;0
F.I.I.;17.098.794/0001-70;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII;2013-11-22;EM FUNCIONAMENTO NORMAL;CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII;CXRI;CXRI11.SA;17.098.794/0001-70;157576;BRCXRICTF003;7.25;1008.0;38
F.I.I.;31.887.401/0001-39;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;2018-11-05;FASE PRÉ-OPERACIONAL;CAIXA RIO BRAVO FDO DE FDOS INV IMOB II;CRFF;;31.887.401/0001-39;2000000;;;0.0;0
F.I.I.;31.887.401/0001-39;CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;2018-11-05;FASE PRÉ-OPERACIONAL;CAIXA RIO BRAVO FDO DE FDOS INV IMOB II;CRFF;;31.887.401/0001-39;2000000;;;0.0;0
F.I.I.;18.979.895/0001-13;CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2014-08-07;EM FUNCIONAMENTO NORMAL;CAPITANIA SECURITIES II FDO INV IMOB - FII;CPTS;CPTS11B.SA;18.979.895/0001-13;1000000;BRCPTSCTF004;0.75;100.0;7828
F.I.I.;17.144.039/0001-85;CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2012-12-17;EM FUNCIONAMENTO NORMAL;CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII;CBOP;CBOP11.SA;17.144.039/0001-85;1415000;BRCBOPCTF001;0.47;71.65;3608
F.I.I.;17.143.998/0001-86;CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2013-01-22;EM FUNCIONAMENTO NORMAL;CSHG GR LOUVEIRA FDO DE INV IMOB - FII;GRLV;GRLV11.SA;17.143.998/0001-86;1073530;BRGRLVCTF002;0.69;110.6;2999
F.I.I.;11.260.134/0001-68;CSHG JHSF PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;2010-10-26;EM FUNCIONAMENTO NORMAL;CSHG JHSF PRIME OFFICES FDO INV IMOB - FII;HGJH;HGJH11.SA;11.260.134/0001-68;1650000;BRHGJHCTF006;0.77;179.0;534
F.I.I.;11.728.688/0001-47;CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2010-05-06;EM FUNCIONAMENTO NORMAL;CSHG LOGÍSTICA FDO INV IMOB - FII;HGLG;HGLG11.SA;11.728.688/0001-47;7881340;BRHGLGCTF004;0.77;160.0;12694
F.I.I.;09.072.017/0001-29;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2008-05-06;EM FUNCIONAMENTO NORMAL;CSHG REAL ESTATE FDO INV IMOB - FII;HGRE;HGRE11.SA;09.072.017/0001-29;7383100;BRHGRECTF006;0.76;155.67;9126
F.I.I.;11.160.521/0001-22;CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2009-12-23;EM FUNCIONAMENTO NORMAL;CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII;HGCR;HGCR11.SA;11.160.521/0001-22;2596486;BRHGCRCTF000;0.51;122.9;11390
F.I.I.;29.641.226/0001-53;CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2018-02-14;EM FUNCIONAMENTO NORMAL;CSHG RENDA URBANA - FDO INV IMOB - FII;HGRU;HGRU11.SA;29.641.226/0001-53;1500000;BRHGRUCTF002;0.65;116.48;1846
F.I.I.;28.108.193/0001-18;DEL MONTE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-07-28;EM FUNCIONAMENTO NORMAL;DEL MONTE AJAX FDO INV IMOB - FII;DLMT;;28.108.193/0001-18;7920000;;;0.0;0
F.I.I.;26.642.727/0001-66;DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO;2017-01-06;EM FUNCIONAMENTO NORMAL;DIAMANTE FDO INV IMOB;DAMT;DAMT11B.SA;26.642.727/0001-66;71350688;;;0.0;0
F.I.I.;10.522.648/0001-81;DOVEL FII;2009-04-01;EM FUNCIONAMENTO NORMAL;DOVEL FDO INV IMOB;DOVL;DOVL11B.SA;10.522.648/0001-81;59466;BRDOVLCTF006;7.0;0.0;0
F.I.I.;24.070.076/0001-51;EVEN PERMUTA KINEA FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-06-08;EM FUNCIONAMENTO NORMAL;EVEN PERMUTA KINEA FII - FDO INV IMOB;KINP;KINP11.SA;24.070.076/0001-51;7281700;;;0.0;0
F.I.I.;17.329.029/0001-14;FATOR IFIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;2013-05-08;EM FUNCIONAMENTO NORMAL;FATOR IFIX FDO INV IMOB;FIXX;FIXX11.SA;17.329.029/0001-14;365972;BRFIXXCTF004;0.51;89.0;371
F.I.I.;11.664.201/0001-00;FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;2011-01-31;EM FUNCIONAMENTO NORMAL;FATOR VERITA FDO INV IMOB - FII;VRTA;VRTA11.SA;11.664.201/0001-00;2241799;BRVRTACTF008;0.94;132.8;9166
F.I.I.;24.814.916/0001-43;FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR;2016-05-23;EM FUNCIONAMENTO NORMAL;FDO INV IMOB NESTPAR - FII;NPAR;NPAR11.SA;24.814.916/0001-43;79340;BRNPARCTF003;0.87;121.81;1
F.I.I.;11.281.322/0001-72;FII - PRESIDENTE VARGAS;2010-04-30;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII PRESIDENTE VARGAS;PRSV;PRSV11.SA;11.281.322/0001-72;195000;BRPRSVCTF008;1.42;338.1;34
F.I.I.;07.789.135/0001-27;FII ANCAR IC;2006-01-03;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII ANCAR IC;ANCR;ANCR11B.SA;07.789.135/0001-27;451113;BRANCRCTF001;30.84;2500.0;0
F.I.I.;11.179.118/0001-45;FII ANHANGUERA EDUCACIONAL;2009-12-16;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII ANHANGUERA EDUCACIONAL;FAED;FAED11.SA;11.179.118/0001-45;642168;BRFAEDCTF003;1.51;217.99;291
F.I.I.;10.347.985/0001-80;FII BB VOTORANTIM CIDADE JARDIM CONTINENTAL TOWER;2011-01-14;EM FUNCIONAMENTO NORMAL;FDO INV IMOB BB VOTORANTIM C JARD CONT TOWER;BBVJ;BBVJ11.SA;10.347.985/0001-80;2710000;BRBBVJCTF001;0.07;57.0;1053
F.I.I.;14.376.247/0001-11;FII BM BRASCAN LAJES CORPORATIVAS;2012-01-10;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS;BMLC;BMLC11B.SA;14.376.247/0001-11;998405;BRBMLCCTF004;0.36;76.25;265
F.I.I.;11.602.654/0001-01;FII CAMPUS FARIA LIMA;2010-06-08;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII CAMPUS FARIA LIMA;FCFL;FCFL11.SA;11.602.654/0001-01;167000;BRFCFLCTF009;11.17;2066.21;23
F.I.I.;13.551.286/0001-45;FII CENESP;2011-07-19;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII CENESP;CNES;CNES11.SA;13.551.286/0001-45;2949248;BRCNESCTF001;0.18;75.5;395
F.I.I.;04.141.645/0001-03;FII CONTINENTAL SQUARE FARIA LIMA;2000-11-22;EM FUNCIONAMENTO NORMAL;FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;FLMA;FLMA11.SA;04.141.645/0001-03;69033500;BRFLMACTF009;0.01;3.25;31511
F.I.I.;13.966.653/0001-71;FII CYRELA THERA CORPORATE;2011-12-02;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII CYRELA THERA CORPORATE;THRA;THRA11.SA;13.966.653/0001-71;1472728;BRTHRACTF007;0.54;127.1;3350
F.I.I.;05.562.312/0001-02;FII EDIFICIO ALMIRANTE BARROSO;2003-03-17;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO;FAMB;FAMB11B.SA;05.562.312/0001-02;104800;BRFAMBCTF018;32.66;2335.01;95
F.I.I.;06.175.262/0001-73;FII EDIFÍCIO OURINVEST;2004-05-05;EM FUNCIONAMENTO NORMAL;FDO INV IMOB EDIFÍCIO OURINVEST;EDFO;EDFO11B.SA;06.175.262/0001-73;236000;BREDFOCTF004;1.73;311.0;9
F.I.I.;13.022.994/0001-99;FII ELDORADO;2010-11-19;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII ELDORADO;ELDO;ELDO11B.SA;13.022.994/0001-99;787256;BRELDOCTF002;3.02;0.0;0
F.I.I.;05.437.916/0001-27;FII EUROPAR;2002-12-10;EM FUNCIONAMENTO NORMAL;FDO INV IMOB EUROPAR;EURO;EURO11.SA;05.437.916/0001-27;383936;BREUROCTF011;0.85;154.3;52
F.I.I.;10.375.382/0001-91;FII FLORIPA SHOPPING;2009-09-21;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII FLORIPA SHOPPING;FLRP;FLRP11.SA;10.375.382/0001-91;55691;BRFLRPCTF006;7.15;1321.5;17
F.I.I.;04.066.582/0001-60;FII HOSPITAL DA CRIANÇA;2000-10-03;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII HOSPITAL DA CRIANÇA;HCRI;HCRI11.SA;04.066.582/0001-60;200000;BRHCRICTF006;2.35;362.11;125
F.I.I.;08.014.513/0001-63;FII HOSPITAL NOSSA SENHORA DE LOURDES;2006-04-20;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;NSLU;NSLU11.SA;08.014.513/0001-63;1144800;BRNSLUCTF008;1.59;254.95;353
F.I.I.;08.706.065/0001-69;FII HOTEL MAXINVEST;2007-02-13;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII HOTEL MAXINVEST;HTMX;HTMX11.SA;08.706.065/0001-69;1118960;BRHTMXCTF000;0.82;154.89;1593
F.I.I.;31.964.557/0001-76;FII LOB MALLS FUNDO DE INVESTIMENTO IMOBILIARIO;2019-01-14;FASE PRÉ-OPERACIONAL;FII LOB MALLS FDO INV IMOB;LOBM;;31.964.557/0001-76;3000000;;;0.0;0
F.I.I.;11.274.415/0001-70;FII MAX RETAIL;2010-04-20;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII MAX RETAIL;MAXR;MAXR11.SA;11.274.415/0001-70;59245;BRMAXRCTF009;14.83;1990.0;123
F.I.I.;01.633.741/0001-72;FII MEMORIAL OFFICE;1994-04-15;EM FUNCIONAMENTO NORMAL;FDO INV IMOB MEMORIAL OFFICE;FMOF;FMOF11.SA;01.633.741/0001-72;508008;BRFMOFCTF010;0.34;82.15;82
F.I.I.;10.869.155/0001-12;FII PARQUE DOM PEDRO SHOPPING CENTER;2009-06-16;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;PQDP;PQDP11.SA;10.869.155/0001-12;238477;BRPQDPCTF004;14.26;3165.05;30
F.I.I.;03.251.720/0001-18;FII PROJ AGUA BRANCA;1999-06-30;EM FUNCIONAMENTO NORMAL;FDO INV IMOB PROJETO ÁGUA BRANCA;FPAB;FPAB11.SA;03.251.720/0001-18;750000;BRFPABCTF011;2.37;357.81;172
F.I.I.;14.879.856/0001-93;FII SHOPPING JARDIM SUL;2012-07-17;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII SHOPPING JARDIM SUL;JRDM;JRDM11.SA;14.879.856/0001-93;2392146;BRJRDMCTF002;0.47;77.0;673
