TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
F.I.I.;00.332.266/0001-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING - FII;2019-03-31;518676435.64;
F.I.I.;00.868.235/0001-08;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;2019-03-31;102017574.45;
F.I.I.;01.601.918/0001-59;FUNDO FORTALEZA INVESTIMENTO IMOBILIÁRIO;2019-03-31;66689792.29;
F.I.I.;02.508.235/0001-14;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;2019-03-31;85434507.68;
F.I.I.;04.141.645/0001-03;FII CONTINENTAL SQUARE FARIA LIMA;2019-03-31;199703103.84;
F.I.I.;07.000.400/0001-46;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;2019-03-31;398939171.45;
F.I.I.;09.072.017/0001-29;CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-03-31;1120908908.68;
F.I.I.;09.150.967/0001-24;FII PATRIMONIAL IV;2019-03-31;16730710.39;
F.I.I.;10.991.914/0001-15;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE;2019-03-31;144378962.57;
F.I.I.;11.160.521/0001-22;CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-03-31;271250364.29;
F.I.I.;11.260.134/0001-68;CSHG JHSF PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;2019-03-31;247163471.01;
F.I.I.;11.268.335/0001-01;JPP FII - FII;2019-03-31;140723033.10;
F.I.I.;11.281.322/0001-72;FII - PRESIDENTE VARGAS;2019-03-31;79354042.04;
F.I.I.;11.728.688/0001-47;CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-03-31;954080449.28;
F.I.I.;12.948.291/0001-23;FUNDO DE INVESTIMENTO IMOBILIÁRIO THE ONE;2019-03-31;101579404.61;
F.I.I.;12.978.943/0001-72;RB CAPITAL ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-03-31;48181462.66;
F.I.I.;13.012.312/0001-67;SALUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-03-31;-4537830.19;
F.I.I.;13.500.306/0001-59;FUNDO DE INVESTIMENTO IMOBILIÁRIO MERCANTIL DO BRASIL - FII;2019-03-31;119946157.84;
F.I.I.;13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-03-31;167176748.44;
F.I.I.;13.568.181/0001-07;RB CAPITAL PATRIMONIAL V FUNDO DE INVESTIMENTO IMOBILIARIO - FII;2019-03-31;659741.65;
F.I.I.;13.920.018/0001-53;CICA JUNDIAI - FUNDO DE INVESTIMENTO IMOBILIARIO;2019-03-31;182385074.11;
F.I.I.;14.074.706/0001-02;BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-03-31;373283124.51;
F.I.I.;14.074.721/0001-50;FIRENZE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-03-31;56349383.32;
F.I.I.;14.631.148/0001-39;HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-03-31;70413161.28;
