COMPANY_ID;QUOTA;ISIN;NAME;DATE_INI;EXCLUSIVE;CLASS;REFERENCE;TARGET;OWNERS;ASSETS;EQUITY;DY_LAST;PRICE_QUOTA_EQUITY
19.419.994/0001-03;1506194;;2509 FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;27/12/2013;True;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidor Qualificado;1;2324552514;2324383718;0,6881%;1543.22
19.213.231/0001-01;128385;;AB CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;22/09/2017;True;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Profissional;1;123922116;123626087;;962.93
19.959.754/0001-00;8935;;AB CAPITAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO;17/04/2017;True;Mandato: Segmento de Atuação: Tipo de Gestão:;04/2019;Investidor Profissional;1;37165536;37049056;;4146.51
13.873.457/0001-52;752500;BRAEFICTF002;AESAPAR FUNDO DE INVESTIMENTO IMOBIILÁRIO - FII;08/12/2011;True;Mandato: Desenvolvimento para RendaSegmento de Atuação: OutrosTipo de Gestão: Passiva;04/2019;Investidores em Geral;6701;114977777;113983723;0,8174%;151.47
31.547.782/0001-07;44800;;AGRI8 - FUNDO D E INVESTIMENTO IMOBILIARIO;03/12/2018;False;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;1;53014910;45238127;;1009.78
28.737.771/0001-85;997042;BRALZRCTF006;ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;27/12/2017;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidores em Geral;6414;118922944;97041593;0,6890%;97.33
14.069.202/0001-02;114054;BRARFICTF004;AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;16/11/2012;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Qualificado e Profissional;31;167723338;164021084;0,0000%;1438.1
13.555.918/0001-49;98221;BRAQLLCTF008;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;11/03/2011;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidor Qualificado e Profissional;38;170408142;166916845;0,0000%;1699.4
14.149.745/0001-21;1309737661;;ARENA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;15/12/2015;False;Mandato: RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidor Qualificado;3;831842472;830450725;;0.63
12.401.858/0001-47;10;BRATRNCTF005;ATRIUM NAÇÕES UNIDAS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;31/08/2012;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;1;532069841;94014340;4,6916%;9401434.0
22.219.335/0001-38;1210001;BRBCRITF009;BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO;14/05/2015;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;8256;122208997;120977279;0,9044%;99.98
15.570.431/0001-60;700000;BRBNFSCTF000;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;11/09/2012;False;Mandato: Desenvolvimento para RendaSegmento de Atuação: OutrosTipo de Gestão: Ativa;04/2019;Investidores em Geral;929;64946407;63989871;0,9734%;91.41
07.000.400/0001-46;130000;BRBBFICTF006;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;03/06/2004;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;5250;410240118;399161782;0,8128%;3070.48
14.410.722/0001-29;15919690;BRBBPOCTF003;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;23/08/2012;False;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;40759;1639093591;1637495515;0,9959%;102.86
20.716.161/0001-93;1035000;BRBBIMCTF002;BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;12/09/2014;False;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: Títulos e Val. Mob.Tipo de Gestão: Ativa;04/2019;Investidores em Geral;20;93821184;93123930;0,6565%;89.97
12.681.340/0001-04;1590000;BRBBRCCTF004;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;13/06/2011;False;Mandato: Desenvolvimento para RendaSegmento de Atuação: OutrosTipo de Gestão: Passiva;04/2019;Investidores em Geral;5788;162617280;161903050;0,9040%;101.83
