COMPANY_ID;NAME;DATE_INI;EXCLUSIVE;CLASS;REFERENCE;TARGET;EQUITY;OWNERS;ASSETS;QUOTA;DY_LAST;PRICE_QUOTA_EQUITY;ISIN
19.249.956/0001-50;LA DÉFENSE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;26/08/2014;0.0;Mandato: RendaSegmento de Atuação: Lajes CorporativasTipo de Gestão: Passiva;04/2019;Investidores em Geral;15036444.0;51;15207414;14350.0;0,0000%;1048.0;BRICTUCTF005
21.398.200/0001-14;LA SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIARIO;03/11/2014;1.0;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;214572694.0;4;226260104;585218.0;;367.0;0
20.717.355/0001-03;LA SHOPPING CENTERS II FUNDO DE INVESTIMENTO IMOBILIARIO;14/09/2014;1.0;Mandato: Títulos e Valores MobiliáriosSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidores em Geral;55649603.0;1;57010744;66857.0;;833.0;BRRFIICTF007
01.356.517/0001-80;LAGRA FII;12/08/1996;1.0;Mandato: Desenvolvimento para RendaSegmento de Atuação: OutrosTipo de Gestão: Passiva;04/2019;Investidores em Geral;156824066.0;6;252036723;56701.0;;2766.0;0
17.209.378/0001-00;LATERES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;05/02/2013;0.0;Mandato: Desenvolvimento para VendaSegmento de Atuação: ResidencialTipo de Gestão: Ativa;04/2019;Investidor Qualificado;87608179.0;140;90082226;124104.0;0,0000%;706.0;BRLATRCTF009
19.722.048/0001-31;LOFT I FUNDO DE INVESTIMENTO IMOBILIÁRIO;27/08/2018;0.0;Mandato: HíbridoSegmento de Atuação: ResidencialTipo de Gestão: Ativa;04/2019;Investidor Qualificado;72124627.0;1;72152318;916500.0;0,0000%;79.0;BRLOFTCTF005
24.796.967/0001-90;LOFT II MAISON SÃO PAULO FUNDO DE INVESTIMENTO IMOBILIÁRIO;27/09/2018;0.0;Mandato: HíbridoSegmento de Atuação: ResidencialTipo de Gestão: Ativa;04/2019;Investidor Qualificado;24415282.0;2;24444436;240250.0;0,0000%;102.0;************
02.508.235/0001-14;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;10/06/1998;0.0;Mandato: RendaSegmento de Atuação: LogísticaTipo de Gestão: Ativa;04/2019;Investidores em Geral;85469492.0;6;85669743;17100.0;0,9007%;4999.0;BRLGVTCTF016
30.579.348/0001-46;MAC FUNDO DE INVESTIMENTO IMOBILIÁRIO;31/08/2018;0.0;Mandato: Desenvolvimento para VendaSegmento de Atuação: ResidencialTipo de Gestão: Passiva;04/2019;Investidor Qualificado;196004101.0;140;196029135;156108.0;0,5010%;1256.0;BRDMACCTF003
17.568.605/0001-86;MAIS SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;03/10/2016;0.0;Mandato: RendaSegmento de Atuação: HíbridoTipo de Gestão: Ativa;04/2019;Investidor Qualificado;388214510.0;1;387204215;241405927.0;0,0000%;2.0;BRSHPGCTF000
