ASSETS;CLASS;COMPANY_ID;DATE_INI;DY_LAST;EQUITY;EXCLUSIVE;ISIN;NAME;OWNERS;PRICE_QUOTA_EQUITY;QUOTA;REFERENCE;TARGET;CODISI;PREULT;VOLTOT;CODNEG;DATA
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;132;4004593;GGRC11      ;2019-05-02
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;133;1894737;GGRC11      ;2019-05-03
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;133;2477607;GGRC11      ;2019-05-06
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;133;1759195;GGRC11      ;2019-05-07
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;132;2332476;GGRC11      ;2019-05-08
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;132;2009538;GGRC11      ;2019-05-09
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;133;1611556;GGRC11      ;2019-05-10
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;132;1769068;GGRC11      ;2019-05-13
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;132;1716877;GGRC11      ;2019-05-14
785122921;Mandato: HíbridoSegmento de Atuação: LogísticaTipo de Gestão: Ativa;26.614.291/0001-00;11/01/2017;;755192226;0.0;BRGGRCCTF002;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;38249;116.13;6503028;04/2019;Investidores em Geral;BRGGRCCTF002;133;2549168;GGRC11      ;2019-05-15
