TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;NR_COTST
F.I.I.;00.332.266/0001-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING - FII;2019-02-28;517254825.44;
F.I.I.;00.613.094/0001-74;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;2019-02-28;187588543.44;
F.I.I.;00.762.723/0001-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;2019-02-28;123402691.13;
F.I.I.;00.868.235/0001-08;FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES;2019-02-28;101984888.63;
F.I.I.;01.201.140/0001-90;FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;2019-02-28;905155869.56;
F.I.I.;01.235.622/0001-61;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;2067333323.68;
F.I.I.;01.356.517/0001-80;LAGRA FII;2019-02-28;145431825.14;
F.I.I.;01.497.954/0001-14;FII MISTRAL;2019-02-28;144607359.04;
F.I.I.;01.601.918/0001-59;FUNDO FORTALEZA INVESTIMENTO IMOBILIÁRIO;2019-02-28;66268949.68;
F.I.I.;01.633.741/0001-72;FII MEMORIAL OFFICE;2019-02-28;67828336.29;
F.I.I.;01.636.325/0001-28;FII PATEO MOINHOS DE VENTO;2019-02-28;250597726.73;
F.I.I.;01.657.856/0001-05;SCP FII;2019-02-28;48127703.76;
F.I.I.;01.964.775/0001-40;FII GEO GUARARAPES;2019-02-28;1188366.28;
F.I.I.;02.027.437/0001-44;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;65538778.68;
F.I.I.;02.508.235/0001-14;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL;2019-02-28;85502019.63;
F.I.I.;03.251.720/0001-18;FII PROJ AGUA BRANCA;2019-02-28;279373299.67;
F.I.I.;03.507.519/0001-59;FUNDO DE INVESTIMENTO IMOBILIÁRIO SHOPPING PÁTIO HIGIENOPOLIS;2019-02-28;431732043.86;
F.I.I.;03.683.056/0001-86;FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA CORPORATIVA;2019-02-28;372426278.10;
F.I.I.;03.855.441/0001-63;FUNDO DE INVESTIMENTO IMOBILIÁRIO RB LOGÍSTICA;2019-02-28;58064712.71;
F.I.I.;04.066.582/0001-60;FII HOSPITAL DA CRIANÇA;2019-02-28;52627906.93;
F.I.I.;04.141.645/0001-03;FII CONTINENTAL SQUARE FARIA LIMA;2019-02-28;199728395.67;
F.I.I.;04.722.883/0001-02;FII TORRE NORTE;2019-02-28;784209649.80;
F.I.I.;04.782.236/0001-88;FP F ANDROMEDA FII;2019-02-28;516911531.14;
F.I.I.;05.437.916/0001-27;FII EUROPAR;2019-02-28;122650609.54;
F.I.I.;05.562.312/0001-02;FII EDIFICIO ALMIRANTE BARROSO;2019-02-28;333402837.91;
F.I.I.;06.175.262/0001-73;FII EDIFÍCIO OURINVEST;2019-02-28;43635702.18;
F.I.I.;07.000.400/0001-46;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;2019-02-28;398770506.49;
F.I.I.;07.122.725/0001-00;FII TORRE ALMIRANTE;2019-02-28;190647285.72;
F.I.I.;07.224.019/0001-60;FII SHOPPING PARQUE D PEDRO;2019-02-28;1976915173.63;
F.I.I.;07.352.632/0001-63;FII RODOBENS;2019-02-28;17927825.06;
F.I.I.;07.583.627/0001-61;FII PENINSULA;2019-02-28;1958387863.25;
F.I.I.;07.789.135/0001-27;FII ANCAR IC;2019-02-28;1416175953.53;
F.I.I.;08.014.513/0001-63;FII HOSPITAL NOSSA SENHORA DE LOURDES;2019-02-28;207145920.92;
F.I.I.;08.098.114/0001-28;FII COMERCIAL PROGRESSIVO II;2019-02-28;342268303.85;
F.I.I.;08.417.532/0001-30;FUNDO DE INVESTIMENTO IMOBILIÁRIO FCM;2019-02-28;185576143.41;
F.I.I.;08.431.747/0001-06;HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-02-28;1203987455.99;
