Razão Social;Código;TICKER;CNPJ_FUNDO;COTA;ISIN;YEAR_DIV_AVERAGE
AESAPAR FDO INV IMOB - FII;AEFI;AEFI11;13.873.457/0001-52;752500;BRAEFICTF002;1.2233333333333336
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;ALZR;ALZR11;28.737.771/0001-85;997042;BRALZRCTF006;0.6366123242591667
AQ3 RENDA FDO INV IMOB - FII;ARFI;ARFI11B;14.069.202/0001-02;113816;;
ÁQUILLA FDO INV IMOB - FII;AQLL;AQLL11;13.555.918/0001-49;97934;;
BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB FII;BCRI;BCRI11;22.219.335/0001-38;1210001;BRBCRICTF009;0.9025000000000002
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;BNFS;BNFS11;15.570.431/0001-60;700000;BRBNFSCTF000;0.8205601850583334
BB FDO INV IMOB PROGRESSIVO;BBFI;BBFI11B;07.000.400/0001-46;130000;BRBBFICTF006;23.594457320509164
BB PROGRESSIVO II FDO INV IMOB - FII;BBPO;BBPO11;14.410.722/0001-29;15919690;BRBBPOCTF003;1.0102208333333336
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;BBIM;BBIM11;20.716.161/0001-93;1035000;BRBBIMCTF002;0.7599999999999999
BB RENDA CORPORATIVA FDO INV IMOB - FII;BBRC;BBRC11;12.681.340/0001-04;1590000;BRBBRCCTF004;0.9133333333333336
BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII;RDPD;RDPD11;23.120.027/0001-13;1078042;BRRDPDCTF008;0.41600000000000004
BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII;RNDP;RNDP11;15.394.563/0001-89;107481;BRRNDPCTF007;5.116816861291667
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII;BCIA;BCIA11;20.216.935/0001-17;1689613;BRBCIACTF005;0.70525
BRAZIL REALTY FDO INV IMOB;BZLI;BZLI11;14.074.706/0001-02;24007132;;
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;CARE;CARE11;13.584.584/0001-31;134764887;BRCARER23M17;0.027608519166666668
BRESCO - FDO INV IMOB;BRCO;;20.748.515/0001-81;996556;;
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II;CRFF;;31.887.401/0001-39;2000000;;
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII;CXRI;CXRI11;17.098.794/0001-70;157576;BRCXRICTF003;7.25
CAPITANIA SECURITIES II FDO INV IMOB - FII;CPTS;CPTS11B;18.979.895/0001-13;1000000;BRCPTSCTF004;0.7450000000000001
CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII;CBOP;CBOP11;17.144.039/0001-85;1415000;BRCBOPCTF001;0.4699999999999998
CSHG GR LOUVEIRA FDO DE INV IMOB - FII;GRLV;GRLV11;17.143.998/0001-86;1073530;BRGRLVCTF002;0.6866666666666666
