TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;SIT;VL_PATRIM_LIQ;RAZAO_SOCIAL;CODIGO;TICKER;COTA;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;PRICE_COTA_PATRIM
F.I.I.;13.873.457/0001-52;AESAPAR FUNDO DE INVESTIMENTO IMOBIILÁRIO - FII;EM FUNCIONAMENTO NORMAL;113918763,72;AESAPAR FDO INV IMOB - FII;AEFI;AEFI11;752500;BRAEFICTF002;1.22;168.00;151,39
F.I.I.;28.737.771/0001-85;ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO;EM FUNCIONAMENTO NORMAL;97098212,76;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;ALZR;ALZR11;997042;BRALZRCTF006;0.64;96.60;97,39
F.I.I.;14.069.202/0001-02;AQ3 RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;EM FUNCIONAMENTO NORMAL;172584262,49;AQ3 RENDA FDO INV IMOB - FII;ARFI;ARFI11B;113816;;;0;1516,34
F.I.I.;13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;EM FUNCIONAMENTO NORMAL;171616960,61;�QUILLA FDO INV IMOB - FII;AQLL;AQLL11;97934;;;415.01;1752,37
F.I.I.;22.219.335/0001-38;BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO;EM FUNCIONAMENTO NORMAL;122179381,91;BANESTES RECEB�VEIS IMOBILI�RIOS FDO INV IMOB FII;BCRI;BCRI11;1210001;BRBCRICTF009;0.9;116.40;100,97
F.I.I.;15.570.431/0001-60;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - FII;EM FUNCIONAMENTO NORMAL;64123716,51;BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;BNFS;BNFS11;700000;BRBNFSCTF000;0.82;118.83;91,61
F.I.I.;07.000.400/0001-46;BB FUNDO DE INVESTIMENTO IMOBILIARIO PROGRESSIVO;EM FUNCIONAMENTO NORMAL;398770506,49;BB FDO INV IMOB PROGRESSIVO;BBFI;BBFI11B;130000;BRBBFICTF006;23.59;2,384.99;3067,47
F.I.I.;14.410.722/0001-29;BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;1639140516,3;BB PROGRESSIVO II FDO INV IMOB - FII;BBPO;BBPO11;15919690;BRBBPOCTF003;1.01;138.91;102,96
F.I.I.;20.716.161/0001-93;BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;94113791,64;BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;BBIM;BBIM11;1035000;BRBBIMCTF002;0.76;0;90,93
F.I.I.;12.681.340/0001-04;BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;EM FUNCIONAMENTO NORMAL;161703187,42;BB RENDA CORPORATIVA FDO INV IMOB - FII;BBRC;BBRC11;1590000;BRBBRCCTF004;0.91;133.99;101,7
